functionality,button label,key,menu label,function,can function,cmd
add,,,,,,
add sibling below,,,,,,
add sibling above,,,,,,
add child top,,,,,,
add child bottom,,,,,,
delete,,,,,,
delete and keep children,,,,,,
promote,,,,,,
promote above,,,,,,
promote below,,,,,,
demote,,,,,,
demote above,,,,,,
demote below,,,,,,
,,,,,,
,,,,,,
,,,,,,
